Runner,Lap,Start,End,Active
Peter Mortimer,1,2021-03-01 2:04 AM CST,8:22 AM CST,No
David Hughes,1,2021-03-01 2:04 AM CST,11:34 AM CST,No
Jared Campbell,1,2021-03-01 2:04 AM CST,12:25 PM CST,Yes
Luke Nelson,1,2021-03-01 2:04 AM CST,12:25 PM CST,Yes
Jared Campbell,2,2021-03-01 12:44 PM CST,,Yes
Luke Nelson,2,2021-03-01 12:44 PM CST,,Yes
Frank Gonzalez,1,2021-03-01 2:04 AM CST,12:43 PM CST,Yes
Jamil Coury,1,2021-03-01 2:04 AM CST,12:43 PM CST,Yes
Wes Thurman,1,2021-03-01 2:04 AM CST,12:43 PM CST,Yes
Scott Martin,1,2021-03-01 2:04 AM CST,12:43 PM CST,Yes
Maggie Guterl,1,2021-03-01 2:04 AM CST,12:48 PM CST,Yes
Courtney Dauwalter,1,2021-03-01 2:04 AM CST,12:48 PM CST,Yes
Chris Hanlon,1,2021-03-01 2:04 AM CST,12:48 PM CST,Yes
Liz Canty,1,2021-03-01 2:04 AM CST,12:48 PM CST,Yes
Maggie Guterl,2,2021-03-01 1:14 PM CST,,Yes
Courtney Dauwalter,2,2021-03-01 1:14 PM CST,,Yes
Jamil Coury,2,2021-03-01 1:14 PM CST,,Yes
Frank Gonzalez,2,2021-03-01 1:14 PM CST,,Yes
Nikolay Nachev,1,2021-03-01 2:04 AM CST,1:10 PM CST,Yes
Scott Martin,2,2021-03-01 1:16 PM CST,,Yes
Wes Thurman,2,2021-03-01 1:17 PM CST,,Yes
Pavel Paloncy,1,2021-03-01 2:04 AM CST,1:24 PM CST,Yes
Chris Hanlon,2,2021-03-01 1:24 PM CST,,Yes
Pavel Paloncy,2,2021-03-01 1:37 PM CST,,Yes
Nikolay Nachev,2,2021-03-01 1:37 PM CST,,Yes
Andy Pearson,1,2021-03-01 2:04 AM CST,2:26 PM CST,Yes
Harold Zundel,1,2021-03-01 2:04 AM CST,2:51 PM CST,Yes
Ryan King,1,2021-03-01 2:04 AM CST,2:55 PM CST,Yes
Ron Moore,1,2021-03-01 2:04 AM CST,3:08 PM CST,Yes
Andy Pearson,2,2021-03-01 3:08 PM CST,,Yes
Yano Isola,1,2021-03-01 2:04 AM CST,3:04 PM CST,Yes
Harold Zundel,2,2021-03-01 3:15 PM CST,,Yes
Yano Isola,2,2021-03-01 3:18 PM CST,,Yes
Ian Farris,1,2021-03-01 2:04 AM CST,3:20 PM CST,Yes
Ian Farris,2,2021-03-01 3:22 PM CST,,Yes
Jake Rankinen,1,2021-03-01 2:04 AM CST,3:43 PM CST,Yes
