Date,Miles,Complete
6/05/2020,4.92,0.041
6/06/2020,6.65,0.051
6/08/2020,3.37,0.053
6/09/2020,5.07,0.057
6/10/2020,4.52,0.059
6/11/2020,5.50,0.061
6/15/2020,5.24,0.063
6/16/2020,6.08,0.065
6/20/2020,5.86,0.075
6/23/2020,4.08,0.080
6/24/2020,6.05,0.084
7/14/2020,4.36,0.089
7/15/2020,5.90,0.092
7/16/2020,5.75,0.099
7/17/2020,5.04,0.103
7/20/2020,4.99,0.108
7/23/2020,5.71,0.110
7/27/2020,4.27,0.114
7/28/2020,5.03,0.121
7/29/2020,2.16,0.124
7/31/2020,7.23,0.129
8/01/2020,10.91,0.133
8/03/2020,6.96,0.141
8/05/2020,3.33,0.146
8/06/2020,4.67,0.152
8/07/2020,2.70,0.155
8/10/2020,6.59,0.160
8/11/2020,8.41,0.164
8/12/2020,5.56,0.170
8/18/2020,5.31,0.177
8/19/2020,5.49,0.183
8/20/2020,5.74,0.190
