Date,Trail,Miles,Complete
6/03/2020,Legacy Park,4,0.019
6/12/2020,Jacomo West,6,0.048
6/13/2020,MoPac,8,0.086
6/17/2020,Jacomo West,7,0.119
6/18/2020,Jacomo Ticks,0,0.119
7/18/2020,Big Bull Creek,9,0.162
7/24/2020,Landahl,5,0.186
7/25/2020,Landahl,10,0.233
8/04/2020,Landahl,3,0.248
8/08/2020,Wyco East,8,0.286
8/14/2020,Blue Springs Lake,9,0.328
8/15/2020,Shawnee Mission Park,9,0.371
8/21/2020,Stocksdale/Walnut Woods,6,0.400
8/22/2020,Jacomo East,18,0.486
8/28/2020,Swope/Rancho D-Lux,6,0.514
8/29/2020,Kill Creek,8,0.552
9/04/2020,Wyco West,7,0.586
9/05/2020,Lexington Lake,10,0.633
9/07/2020,Swope/Wudchuk Run,14,0.700
9/15/2020,Blue Springs Lake,1,0.705
