Activity Name,Activity Type,Start,Tagging,Time,Distance,Avg Speed(Avg Pace),Elevation Gain,Max Speed(Best Pace),Avg HR,Max HR,V02 Max,Training Effect
Lees Summit Running,Running,"Sat, Sep 10, 2016 1:22 PM",running_2016-09-10,2:04:30,11.42,10:54,497,4:15,145,185,46,4.1
Lees Summit Running,Running,"Tue, Sep 6, 2016 8:35 PM",running_2016-09-06,31:34:00,3.41,9:15,85,6:50,173,184,47,4.1
Lees Summit Running,Running,"Sat, Sep 3, 2016 4:43 AM",running_2016-09-03,2:12:45,12.45,10:40,613,3:28,108,170,47,3.9
Lees Summit Running,Running,"Sat, Aug 27, 2016 5:29 AM",running_2016-08-27,2:01:31,11.41,10:39,541,7:45,119,173,47,3.5
Lees Summit Running,Running,"Sat, Aug 13, 2016 9:19 AM",running_2016-08-13,1:42:01,8.45,12:05,437,6:36,140,193,47,5
Lees Summit Running,Running,"Mon, Jul 18, 2016 10:28 PM",running_2016-07-18,6:27:00,3.48,8:45,61,6:58,155,169,47,3.3
Lees Summit Running,Running,"Sat, Jul 16, 2016 5:36 AM",running_2016-07-16,2:02:30,12.06,10:09,520,6:23,--,--,47,--
Lees Summit Running,Running,"Wed, Jul 13, 2016 9:53 PM",running_2016-07-13,10:38:00,5.11,11:28,230,7:19,148,166,47,3.2
Lees Summit Running,Running,"Tue, Jul 12, 2016 8:46 PM",running_2016-07-12,5:51:00,3.46,8:38,60,6:09,164,179,47,3.9
Lees Summit Running,Running,"Sat, Jul 9, 2016 5:19 AM",running_2016-07-09,1:56:00,11.45,10:08,562,7:35,149,170,47,3.6
Lees Summit Running,Running,"Thu, Jul 7, 2016 9:43 PM",running_2016-07-07,1:58:00,3.02,8:36,80,4:54,169,183,47,4.1
Lees Summit Running,Running,"Wed, Jul 6, 2016 11:14 PM",running_2016-07-06,0:28:00,5.14,9:26,196,1:23,169,181,47,4.9
Lees Summit Running,Running,"Mon, Jul 4, 2016 8:59 PM",running_2016-07-04,3:03:00,2.87,9:25,20,7:13,163,176,47,3
Kansas City Cycling,Cycling,"Fri, Jun 24, 2016 4:53 PM",cycling_2016-06-24_02,1:03:10,11.55,0:00,755,9:36,160,178,,4.2
Lees Summit Cycling,Cycling,"Fri, Jun 24, 2016 8:26 AM",cycling_2016-06-24_01,1:00:23,12,21:36,724,2:24,152,178,,4
Lees Summit Running,Running,"Tue, Jun 14, 2016 10:43 PM",running_2016-06-14,20:51:00,2.23,9:21,76,7:16,149,166,47,3
Lees Summit Running,Running,"Sat, Jun 11, 2016 5:48 AM",running_2016-06-11,1:59:00,11.41,10:26,544,6:48,103,164,47,3
Lee's Summit Running,Running,"Sat, Jun 4, 2016 6:00 AM",running_2016-06-04,1:58:00,11.41,10:21,--,--,--,--,47,--
Lees Summit Running,Running,"Thu, Jun 2, 2016 9:31 PM",running_2016-06-02,9:16:00,3.87,8:36,73,6:21,166,181,47,3.9
Lees Summit Running,Running,"Sat, May 28, 2016 12:59 PM",running_2016-05-28,2:05:00,11.54,10:50,506,5:48,171,188,46,5
Kansas City Cycling,Cycling,"Fri, May 20, 2016 5:11 PM",cycling_2016-05-20_03,11:15:00,12.12,7:12,784,12:00,153,176,,3.7
Lees Summit Cycling,Cycling,"Fri, May 20, 2016 8:09 AM",cycling_2016-05-20_02,8:13:00,7.21,9:36,321,16:48,144,168,,3.1
Lees Summit Cycling,Cycling,"Fri, May 20, 2016 7:48 AM",cycling_2016-05-20_01,20:23:00,4.86,7:12,305,9:36,153,176,,3.1
Running with the Cows 2016,Running,"Sat, May 14, 2016 7:30 AM",running_2016-05-14,1:54:11,13.21,8:39,395,4:46,168,181,45,5
Kansas City Cycling,Cycling,"Tue, May 10, 2016 5:11 PM",cycling_2016-05-10_02,1:01:10,12.95,12.7,747,32.2,152,176,,4.1
Lees Summit Cycling,Cycling,"Tue, May 10, 2016 7:44 AM",cycling_2016-05-10_01,55:25:00,12.9,14,566,28.3,155,176,,3.6
Lees Summit Running,Running,"Mon, May 9, 2016 8:54 PM",running_2016-05-09,30:34:00,3.5,8:44,95,4:47,152,171,46,3.2
Color Run (w/ kids),Running,"Sat, May 7, 2016 8:45 AM",running_2016-05-07_02,50:33:00,3.05,16:33,294,8:52,142,176,46,2.5
Lees Summit Running,Running,"Sat, May 7, 2016 5:36 AM",running_2016-05-07_01,46:29:00,5.1,9:07,206,4:36,145,174,46,3.4
Lees Summit Running,Running,"Sat, Apr 30, 2016 9:39 PM",running_2016-04-30,1:57:53,8.7,9:45,391,5:56,137,181,45,3.5
Lees Summit Running,Running,"Sat, Apr 23, 2016 11:39 AM",running_2016-04-23,1:24:49,8.7,9:45,391,5:56,137,181,44,4.1
Garmin Half Marathon 2016,Running,"Sat, Apr 16, 2016 6:46 AM",running_2016-04-16,2:03:17,13.08,9:26,521,2:11,178,187,45,5
Rock the Parkway 2016,Running,"Sat, Apr 9, 2016 7:34 AM",running_2016-04-09,1:55:20,13.11,8:48,343,4:38,169,178,45,5
Kansas City Cycling,Cycling,"Tue, Apr 5, 2016 4:38 PM",cycling_2016-04-05_03,1:06:53,12.16,10.9,837,30.5,142,163,,3
Kansas City Cycling,Cycling,"Tue, Apr 5, 2016 12:40 PM",cycling_2016-04-05_02,16:30,2.92,10.6,209,28.2,130,160,,2
Lees Summit Cycling,Cycling,"Tue, Apr 5, 2016 7:25 AM",cycling_2016-04-05_01,51:39:00,12.12,14.1,600,31.8,150,171,,3.6
Kansas City Cycling,Cycling,"Mon, Apr 4, 2016 5:06 PM",cycling_2016-04-04_02,1:10:26,14.46,12.3,955,28.2,151,172,,3.7
Lees Summit Cycling,Cycling,"Mon, Apr 4, 2016 7:32 AM",cycling_2016-04-04_01,58:00:00,12.04,12.5,647,31.1,146,172,,3.5
Lees Summit Running,Running,"Sat, Apr 2, 2016 9:47 PM",running_2016-04-02,2:00:15,11.38,10:34,525,6:12,148,169,45,3.5
Kansas City Cycling,Cycling,"Fri, Apr 1, 2016 5:09 PM",cycling_2016-04-01_02,1:04:33,12.86,12,769,27.8,150,176,,3.5
Lees Summit Cycling,Cycling,"Fri, Apr 1, 2016 7:45 AM",cycling_2016-04-01_01,58:22:00,10.45,10.7,435,25.7,155,169,,4.2
Lees Summit Running,Running,"Sat, Mar 26, 2016 5:16 AM",running_2016-03-26,1:39:51,9.52,10:29,480,7:39,154,172,45,4.6
Lees Summit Running,Running,"Sat, Mar 19, 2016 5:14 AM",running_2016-03-19,1:58:31,11.4,10:24,499,5:09,153,172,44,4.2
