Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-03-25 13:10:32,false,"Lee's Summit Running","7.12","868","00:53:45","164","180","4.8","164","187","7:33","6:40","128","98","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","26:40.03","2","0.0"
Running,2020-03-24 17:13:34,false,"Lee's Summit Running","0.46","59","00:05:14.4","124","142","0.6","132","179","11:18","7:58","20","20","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","77.0","0:00","No","00:00.00","1","0.0"
Running,2020-03-24 12:07:39,false,"Lee's Summit Running","7.04","827","00:52:31","161","175","4.4","166","175","7:27","6:45","289","305","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0:00","64.4","0:00","No","00:00.00","1","0.0"
Running,2020-03-23 13:06:15,false,"Lee's Summit Running","7.01","842","00:54:46","158","171","4.1","163","223","7:49","6:58","289","272","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Cardio,2020-03-23 07:23:42,false,"Max30 4.01","0.00","164","00:30:02","92","125","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","75.2","0:00","No","00:00.00","1","0.0"
Running,2020-03-21 14:07:45,false,"Lee's Summit Running","11.48","1,330","01:33:08","157","175","4.3","162","234","8:07","5:43","696","643","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:07.26","13","0.0"
Running,2020-03-20 17:47:44,false,"Lee's Summit Running","7.04","846","00:57:04","155","167","3.8","162","179","8:06","6:56","351","361","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0:00","64.4","0:00","No","00:00.00","1","0.0"
Cardio,2020-03-20 11:58:59,false,"Max30 3.05","0.00","272","00:32:02","115","144","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","12:05.92","2","0.0"
Running,2020-03-19 12:44:43,false,"Lee's Summit Running","7.02","877","00:56:54","158","170","4.3","166","179","8:06","6:56","322","308","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0:00","73.4","0:00","No","00:00.00","1","0.0"
Cardio,2020-03-19 08:00:07,false,"Max30 3.04","0.00","233","00:31:56","107","134","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","66.2","0:00","No","00:00.00","1","0.0"
Running,2020-03-18 12:40:37,false,"Lee's Summit Running","7.03","831","00:56:11","153","167","3.8","167","175","7:59","6:56","269","262","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0:00","73.4","0:00","No","00:00.00","1","0.0"
